Num	Chr	Start	Size	Strand	ChrSize	QueryName	QueryStart	QuerySize	QueryStrand	QuerySizeTot	Info	Prob
191	GLCHR05	4429700	76	+	4471437	utg11_pilon	21012	76	+	1821772	76	mismap=0.112
243	GLCHR01	175970	71	+	1491578	utg11_pilon	22437	71	+	1821772	71	mismap=0.0239
364	GLCHR05	3959274	428	+	4471437	utg11_pilon	26117	421	+	1821772	24,1:0,67,1:0,32,0:7,8,9:0,104,1:0,20,1:0,29,1:0,43,1:0,53,0:1,33	mismap=1e-10
3324	GLCHR04	1516670	1463	+	2762469	utg11_pilon	1793286	1462	-	1821772	496,3:0,245,1:0,95,0:3,623	mismap=0.0256
196	GLCHR05	1303847	172	+	4471437	utg11_pilon	1791680	184	-	1821772	85,0:12,87	mismap=0.166
719	GLCHR01	1369202	373	+	1491578	utg11_pilon	30101	367	+	1821772	38,6:0,329	mismap=6.27e-05
392	GLCHR04	515849	173	+	2762469	utg11_pilon	30495	173	+	1821772	173	mismap=0.501
338	GLCHR05	2454036	241	+	4471437	utg11_pilon	30694	238	+	1821772	141,3:0,97	mismap=0.378
332	GLCHR04	631613	142	+	2762469	utg11_pilon	1790699	139	-	1821772	54,3:0,85	mismap=1e-10
209	GLCHR04	1170101	90	+	2762469	utg11_pilon	1790503	90	-	1821772	90	mismap=0.00351
242	GLCHR05	1299536	203	+	4471437	utg11_pilon	31317	203	+	1821772	203	mismap=1.73e-06
8826	GLCHR05	3217152	2921	+	4471437	utg11_pilon	31874	2904	+	1821772	106,1:0,129,8:0,18,0:3,22,0:2,300,0:3,94,0:3,29,6:0,645,24:0,7,0:18,232,0:3,582,0:2,110,11:0,37,1:0,559	mismap=1.39e-05
1728	GLCHR03	729081	723	+	1958359	utg11_pilon	1786275	719	-	1821772	161,1:0,199,3:0,359	mismap=1e-10
242	GLCHR05	1299536	203	+	4471437	utg11_pilon	1785549	203	-	1821772	203	mismap=1.73e-06
195	GLCHR04	1170101	90	+	2762469	utg11_pilon	36271	89	+	1821772	50,1:0,39	mismap=0.0785
332	GLCHR04	631613	142	+	2762469	utg11_pilon	36466	139	+	1821772	54,3:0,85	mismap=1e-10
331	GLCHR05	2454036	241	+	4471437	utg11_pilon	1784928	237	-	1821772	82,1:0,58,3:0,97	mismap=0.378
392	GLCHR04	511672	173	+	2762469	utg11_pilon	36870	173	+	1821772	173	mismap=0.501
578	GLCHR01	1369257	318	+	1491578	utg11_pilon	1784387	315	-	1821772	75,1:0,89,2:0,69,1:0,51,0:1,30	mismap=0.00344
196	GLCHR05	1303847	172	+	4471437	utg11_pilon	37444	184	+	1821772	85,0:12,87	mismap=0.163
3222	GLCHR04	1516670	1463	+	2762469	utg11_pilon	39047	1459	+	1821772	167,2:0,253,0:1,74,3:0,135,4:0,202,0:3,92,0:1,531	mismap=0.00176
400	GLCHR05	3959274	413	+	4471437	utg11_pilon	1780359	407	-	1821772	92,1:0,32,0:7,8,9:0,104,1:0,20,1:0,29,1:0,43,1:0,53,0:1,18	mismap=1e-10
243	GLCHR01	175970	71	+	1491578	utg11_pilon	1776675	71	-	1821772	71	mismap=0.0239
403	GLCHR04	1659922	82	+	2762469	utg11_pilon	46559	82	+	1821772	82	mismap=0.5
216	GLCHR01	1369115	194	+	1491578	utg11_pilon	47138	179	+	1821772	80,9:0,37,3:0,33,3:0,29	mismap=0.0012
448	GLCHR04	1170647	540	+	2762469	utg11_pilon	1773915	532	-	1821772	83,1:0,11,3:0,16,1:0,37,7:0,16,0:4,66,0:1,22,4:0,59,0:6,109,3:0,102	mismap=3.44e-08
72589	GLCHR04	1672066	23537	+	2762469	utg11_pilon	1749328	23537	-	1821772	607,1:0,18,1:0,412,0:1,38,2:0,135,9:0,1399,2:0,410,0:4,47,2:0,36,14:0,7,0:3,364,0:2,1227,0:2,6869,11:0,11,0:1,612,3:0,1713,0:1,32,1:0,4603,0:1,23,0:5,18,0:2,15,0:3,64,3:0,1363,0:13,16,3:0,499,1:0,21,0:7,12,0:4,22,0:1,56,0:1,226,1:0,1352,0:1,982,0:1,15,0:3,207,2:0,50	mismap=1e-10
32613	GLCHR04	1660641	11096	+	2762469	utg11_pilon	1737935	11089	-	1821772	52,1:0,492,0:3,2066,0:5,32,6:0,18,1:0,357,0:1,864,0:1,23,0:1,15,2:0,1935,0:2,1065,0:1,691,3:0,342,3:0,1151,0:2,979,9:0,570,0:1,17,0:1,402	mismap=1e-10
2536	GLCHR05	4428845	931	+	4471437	utg11_pilon	84301	931	+	1821772	931	mismap=0.23
387	GLCHR02	464794	242	+	1519671	utg11_pilon	85894	239	+	1821772	122,3:0,117	mismap=1e-10
343	GLCHR04	2540668	195	+	2762469	utg11_pilon	1735348	193	-	1821772	61,0:1,106,3:0,25	mismap=0.287
529	GLCHR04	1717039	338	+	2762469	utg11_pilon	1734908	341	-	1821772	265,0:3,73	mismap=0.447
265	GLCHR03	1835018	182	+	1958359	utg11_pilon	87113	197	+	1821772	44,0:3,97,0:12,41	mismap=0.526
334	GLCHR03	773925	209	+	1958359	utg11_pilon	87549	209	+	1821772	209	mismap=0.514
516	GLCHR05	1045155	321	+	4471437	utg11_pilon	88549	321	+	1821772	28,0:3,153,3:0,137	mismap=1.09e-05
367	GLCHR04	1866514	203	+	2762469	utg11_pilon	1732044	203	-	1821772	203	mismap=0.00125
250	GLCHR05	1789253	109	+	4471437	utg11_pilon	90424	109	+	1821772	109	mismap=0.5
227	GLCHR01	303743	102	+	1491578	utg11_pilon	1730798	102	-	1821772	102	mismap=0.5
413	GLCHR05	2275423	217	+	4471437	utg11_pilon	1730095	220	-	1821772	162,0:3,55	mismap=3.14e-07
304	GLCHR05	3526063	180	+	4471437	utg11_pilon	1729885	192	-	1821772	44,0:12,136	mismap=0.29
1703	GLCHR01	571750	1399	+	1491578	utg11_pilon	91923	1366	+	1821772	50,3:0,63,3:0,24,15:0,8,0:15,150,3:0,216,12:0,92,0:3,544,6:0,81,9:0,120	mismap=0.000298
26880	GLCHR04	1645547	8964	+	2762469	utg11_pilon	1718915	8930	-	1821772	1252,9:0,413,0:2,87,2:0,44,0:1,13,1:0,40,20:0,2568,0:1,813,6:0,23,3:0,2491,0:3,1179	mismap=1e-10
576	GLCHR04	1695426	177	+	2762469	utg11_pilon	102916	177	+	1821772	177	mismap=1e-10
331	GLCHR04	1700205	90	+	2762469	utg11_pilon	103459	90	+	1821772	90	mismap=0.667
422	GLCHR04	1702547	487	+	2762469	utg11_pilon	104040	477	+	1821772	66,3:0,111,2:0,9,1:0,37,3:0,76,0:1,55,2:0,122	mismap=0.442
309	GLCHR04	2642582	140	+	2762469	utg11_pilon	104865	137	+	1821772	75,3:0,62	mismap=0.574
586	GLCHR05	1784786	409	+	4471437	utg11_pilon	105051	403	+	1821772	112,3:0,61,3:0,230	mismap=0.5
572	GLCHR03	1208122	397	+	1958359	utg11_pilon	105477	382	+	1821772	137,6:0,179,9:0,66	mismap=0.433
242	GLCHR05	1800993	148	+	4471437	utg11_pilon	105930	136	+	1821772	101,12:0,35	mismap=0.408
446	GLCHR01	205193	276	+	1491578	utg11_pilon	1715370	288	-	1821772	227,0:12,49	mismap=0.5
367	GLCHR04	1866514	203	+	2762469	utg11_pilon	106979	203	+	1821772	203	mismap=0.00125
418	GLCHR05	1045198	278	+	4471437	utg11_pilon	1713663	269	-	1821772	24,6:0,109,3:0,136	mismap=3.74e-05
415	GLCHR03	1631624	300	+	1958359	utg11_pilon	108863	288	+	1821772	24,3:0,37,9:0,227	mismap=0.5
511	GLCHR04	1115129	344	+	2762469	utg11_pilon	109168	353	+	1821772	243,0:9,101	mismap=1.23e-09
479	GLCHR05	2269966	236	+	4471437	utg11_pilon	109582	236	+	1821772	236	mismap=0.51
318	GLCHR02	464794	144	+	1519671	utg11_pilon	1711769	144	-	1821772	144	mismap=1e-10
23609	GLCHR04	1635268	8449	+	2762469	utg11_pilon	1702084	8423	-	1821772	51,0:3,1386,0:3,44,0:9,1107,0:3,426,36:0,35,12:0,3066,0:1,15,0:4,11,2:0,2216,0:1,42	mismap=1e-10
93243	GLCHR04	1601277	33770	+	2762469	utg11_pilon	1668199	33669	-	1821772	29,0:3,20,2:0,32,3:0,15,0:1,1189,2:0,614,6:0,766,0:1,713,13:0,8,0:13,1788,0:3,605,5:0,11,0:3,2675,0:1,1324,0:1,2032,3:0,772,0:3,499,2:0,910,0:2,1601,0:4,19,7:0,78,0:2,57,6:0,350,0:19,431,9:0,51,0:3,24,1:0,37,0:1,2714,3:0,49,15:0,154,3:0,945,3:0,232,0:24,227,3:0,1124,3:0,69,9:0,555,3:0,443,3:0,23,0:3,47,0:6,428,0:18,3,24:0,888,0:1,566,3:0,137,9:0,368,23:0,10,0:14,485,6:0,351,3:0,1011,8:0,2046,1:0,1277,45:0,1409,2:0,1305,0:1,26	mismap=1e-10
27241	GLCHR04	1591595	9223	+	2762469	utg11_pilon	1658735	9194	-	1821772	2376,6:0,134,0:3,94,3:0,246,0:21,194,0:3,408,9:0,18,9:0,14,3:0,1166,0:3,15,1:0,10,13:0,8,48:0,14,0:23,1842,3:0,9,0:18,617,0:6,16,6:0,1220,1:0,24,4:0,692	mismap=1e-10
21199	GLCHR04	1564956	6635	+	2762469	utg11_pilon	1652072	6661	-	1821772	999,0:1,568,0:3,432,0:21,11,5:0,19,1:0,2913,0:1,13,0:1,964,0:4,692,0:1,18	mismap=1e-10
7523	GLCHR04	1562036	2701	+	2762469	utg11_pilon	1648952	2707	-	1821772	1511,0:6,1190	mismap=1e-10
12900	GLCHR04	1557910	3909	+	2762469	utg11_pilon	1644990	3906	-	1821772	45,0:1,70,0:1,29,0:1,14,0:1,2231,5:0,25,1:0,26,0:1,43,2:0,1418	mismap=1e-10
37794	GLCHR04	1544918	12839	+	2762469	utg11_pilon	1632081	12825	-	1821772	388,12:0,974,3:0,1468,0:6,2201,0:3,1258,3:0,1530,3:0,636,3:0,1204,0:5,2264,3:0,864,1:0,24	mismap=1e-10
66623	GLCHR04	1519139	25644	+	2762469	utg11_pilon	1606303	25651	-	1821772	1717,0:1,43,1:0,1763,0:1,15,0:7,9,4:0,668,12:0,8,0:4,519,6:0,57,9:0,150,0:3,237,2:0,1582,0:3,3326,0:3,1956,0:9,398,0:3,400,2:0,16,0:1,316,0:6,596,3:0,1409,9:0,447,0:3,202,3:0,179,6:0,1262,0:1,6,35:0,651,6:0,608,0:16,9,5:0,16,0:31,32,0:6,220,0:9,285,0:21,145,0:12,194,24:0,169,3:0,110,0:9,49,3:0,202,0:3,128,0:52,14,0:11,26,3:0,496,0:1,23,0:3,28,17:0,25,3:0,209,3:0,27,3:0,69,0:3,1102,0:1,24,15:0,6,0:3,355,3:0,709,6:0,454,33:0,724,0:1,22,2:0,26,1:0,11,1:0,219,0:9,476,6:0,271	mismap=1e-10
1928	GLCHR05	967135	816	+	4471437	utg11_pilon	215634	819	+	1821772	716,0:3,100	mismap=0.226
307	GLCHR04	1170619	192	+	2762469	utg11_pilon	1605116	189	-	1821772	17,3:0,172	mismap=0.0115
536	GLCHR04	5782	342	+	2762469	utg11_pilon	216669	333	+	1821772	163,0:3,25,8:0,9,0:5,99,9:0,29	mismap=0.667
237	GLCHR04	2644196	184	+	2762469	utg11_pilon	217027	184	+	1821772	184	mismap=0.517
231	GLCHR05	1484512	136	+	4471437	utg11_pilon	1604366	136	-	1821772	136	mismap=0.00192
694	GLCHR02	67051	281	+	1519671	utg11_pilon	218380	281	+	1821772	281	mismap=0.75
1672	GLCHR02	786410	819	+	1519671	utg11_pilon	218686	823	+	1821772	607,0:3,28,0:1,184	mismap=1e-10
220	GLCHR05	1775667	106	+	4471437	utg11_pilon	219562	106	+	1821772	106	mismap=0.000342
262	GLCHR04	1645106	120	+	2762469	utg11_pilon	220184	120	+	1821772	120	mismap=0.522
370	GLCHR05	2901353	174	+	4471437	utg11_pilon	220401	174	+	1821772	174	mismap=0.706
262	GLCHR01	1369995	199	+	1491578	utg11_pilon	1600898	199	-	1821772	199	mismap=3.07e-08
12753	GLCHR04	1472149	5249	+	2762469	utg11_pilon	1594974	5454	-	1821772	34,1:0,76,0:1,67,0:1,18,0:17,36,1:0,70,21:0,95,2:0,55,17:0,27,4:0,36,0:3,23,1:0,10,0:22,19,0:16,21,0:11,18,0:1,33,0:2,84,0:27,38,1:0,83,0:8,14,0:7,12,0:1,92,7:0,13,0:1,35,29:0,27,0:7,13,2:0,24,4:0,21,0:30,12,0:6,37,2:0,10,0:15,127,2:0,51,1:0,38,9:0,20,0:2,11,0:30,80,0:12,70,0:99,101,0:6,25,0:9,16,0:18,28,0:42,104,10:0,27,0:3,9,1:0,29,30:0,26,1:0,80,3:0,40,8:0,193,1:0,187,1:0,21,1:0,26,20:0,319,2:0,674,1:0,236,2:0,15,0:3,255,3:0,180,0:10,11,0:4,20,1:0,9,1:0,259,1:0,63,3:0,32,12:0,120,3:0,385	mismap=1e-10
49983	GLCHR04	1493718	16131	+	2762469	utg11_pilon	1578337	16121	-	1821772	1519,1:0,180,7:0,10,0:10,662,2:0,571,4:0,39,0:2,27,2:0,445,3:0,3192,0:1,13,0:1,35,0:1,817,2:0,10,0:3,725,0:4,8,0:3,25,0:1,11,0:1,23,0:1,18,0:3,11,11:0,20,0:5,15,6:0,2019,0:3,24,9:0,310,1:0,17,0:1,21,0:1,18,0:4,760,3:0,389,5:0,5,0:4,24,0:1,854,9:0,1285,0:2,172,0:6,1504,3:0,285	mismap=1e-10
41427	GLCHR04	1478182	14587	+	2762469	utg11_pilon	1562898	14435	-	1821772	498,0:2,2092,0:1,185,3:0,249,3:0,178,6:0,80,3:0,728,3:0,38,3:0,2541,57:0,18,0:12,726,1:0,18,1:0,972,18:0,27,51:0,3397,6:0,15,0:6,282,0:3,889,0:1,402,15:0,409,6:0,582,1:0,84	mismap=1e-10
216	GLCHR05	4092837	121	+	4471437	utg11_pilon	259712	121	+	1821772	121	mismap=0.817
3220	GLCHR05	1273160	1303	+	4471437	utg11_pilon	260498	1312	+	1821772	90,6:0,138,0:1,13,0:17,407,3:0,646	mismap=1e-10
285	GLCHR04	510616	363	+	2762469	utg11_pilon	265758	357	+	1821772	97,3:0,146,0:10,37,13:0,67	mismap=2.55e-05
296	GLCHR04	631605	231	+	2762469	utg11_pilon	266188	237	+	1821772	168,0:3,37,0:3,26	mismap=1.59e-08
281	GLCHR02	1339479	282	+	1519671	utg11_pilon	1555065	273	-	1821772	109,6:0,117,3:0,47	mismap=0.000115
390	GLCHR05	2902459	127	+	4471437	utg11_pilon	266732	127	+	1821772	127	mismap=0.502
576	GLCHR05	1218532	632	+	4471437	utg11_pilon	1553910	572	-	1821772	40,2:0,46,2:0,8,22:0,24,1:0,21,2:0,26,2:0,71,4:0,60,17:0,70,1:0,27,2:0,14,1:0,26,1:0,12,2:0,71,1:0,56	mismap=1e-10
1364	GLCHR05	4110244	504	+	4471437	utg11_pilon	269254	492	+	1821772	223,12:0,269	mismap=0.00169
801	GLCHR05	1218381	783	+	4471437	utg11_pilon	269798	720	+	1821772	51,1:0,32,1:0,28,1:0,75,2:0,48,2:0,8,22:0,24,1:0,21,2:0,26,2:0,71,4:0,60,17:0,70,1:0,27,2:0,14,1:0,26,1:0,12,2:0,71,1:0,56	mismap=1e-10
336	GLCHR02	1339479	282	+	1519671	utg11_pilon	271101	276	+	1821772	109,6:0,167	mismap=2.5e-08
296	GLCHR04	631605	231	+	2762469	utg11_pilon	1550149	237	-	1821772	168,0:3,37,0:3,26	mismap=4.52e-09
278	GLCHR04	510616	363	+	2762469	utg11_pilon	1549719	357	-	1821772	97,3:0,146,0:10,37,13:0,67	mismap=0.000125
96526	GLCHR04	1441460	35938	+	2762469	utg11_pilon	1509714	36257	-	1821772	599,0:3,965,24:0,549,6:0,52,22:0,14,8:0,1676,0:1,22,0:3,28,0:2,15,0:1,565,0:12,91,3:0,1386,3:0,79,0:1,67,29:0,676,5:0,9,7:0,1197,0:39,536,0:3,2971,0:15,58,3:0,50,21:0,262,6:0,372,2:0,21,5:0,90,6:0,5,6:0,1731,1:0,30,1:0,53,1:0,20,2:0,1959,0:1,62,0:2,605,0:27,355,2:0,36,1:0,37,8:0,318,0:2,1607,3:0,468,0:1,796,11:0,22,1:0,1357,0:1,44,0:1,2282,0:1,1839,3:0,941,6:0,860,0:6,95,0:1,15,0:1,20,0:1,52,0:1,53,0:1,18,0:1,2641,0:1,17,0:17,118,6:0,274,0:45,17,0:35,42,0:1,117,0:27,102,1:0,18,0:5,15,0:12,9,0:1,95,7:0,13,0:1,27,0:3,28,0:6,19,0:3,16,0:4,10,2:0,25,0:2,28,0:25,11,0:6,38,2:0,8,0:17,129,0:3,92,9:0,19,0:2,10,0:30,82,0:12,64,0:93,104,0:6,27,0:9,15,0:18,28,0:30,47,4:0,22,3:0,24,2:0,31,0:26,19,1:0,15,27:0,40,1:0,142,1:0,710,0:1,255,0:1,725,0:3,255,3:0,180,0:10,11,0:4,521,3:0,385	mismap=1e-10
17534	GLCHR04	1435582	5719	+	2762469	utg11_pilon	1503957	5724	-	1821772	183,0:1,41,0:1,31,1:0,19,0:1,1706,0:1,2315,0:3,381,1:0,1041	mismap=1e-10
4520	GLCHR03	320068	2316	+	1958359	utg11_pilon	318933	2295	+	1821772	59,0:3,171,0:1,47,0:1,10,0:1,429,1:0,97,3:0,253,3:0,152,1:0,36,0:3,101,1:0,207,3:0,166,2:0,9,16:0,549	mismap=1e-10
509	GLCHR05	888076	316	+	4471437	utg11_pilon	1498825	313	-	1821772	49,3:0,264	mismap=0.5
244	GLCHR01	616153	241	+	1491578	utg11_pilon	1496573	244	-	1821772	94,0:9,11,6:0,130	mismap=0.00646
207	GLCHR05	1775888	206	+	4471437	utg11_pilon	325422	209	+	1821772	64,11:0,18,0:14,113	mismap=0.0071
450	GLCHR04	2794	198	+	2762469	utg11_pilon	1495783	204	-	1821772	159,0:6,39	mismap=0.753
1817	GLCHR04	857600	1023	+	2762469	utg11_pilon	326715	1024	+	1821772	993,0:1,30	mismap=0.000159
612	GLCHR05	3082413	331	+	4471437	utg11_pilon	1493693	331	-	1821772	331	mismap=0.042
331	GLCHR01	849087	152	+	1491578	utg11_pilon	328156	151	+	1821772	137,1:0,14	mismap=0.781
1629	GLCHR04	969293	792	+	2762469	utg11_pilon	1492089	750	-	1821772	149,1:0,22,1:0,12,4:0,24,6:0,55,2:0,37,47:0,68,1:0,70,1:0,28,1:0,26,1:0,8,1:0,60,0:19,18,1:0,16,2:0,61,0:9,58,1:0,10	mismap=4.82e-06
263	GLCHR04	2505893	97	+	2762469	utg11_pilon	330026	97	+	1821772	46,2:0,28,0:2,21	mismap=0.5
207	GLCHR05	1775888	206	+	4471437	utg11_pilon	1490963	209	-	1821772	64,11:0,18,0:14,113	mismap=0.0071
244	GLCHR01	616153	241	+	1491578	utg11_pilon	331032	244	+	1821772	94,0:9,11,6:0,130	mismap=0.00646
509	GLCHR05	888076	316	+	4471437	utg11_pilon	333285	313	+	1821772	49,3:0,264	mismap=0.5
4373	GLCHR03	320068	2137	+	1958359	utg11_pilon	1484463	2121	-	1821772	59,0:3,171,0:2,47,0:1,10,0:1,390,0:1,137,3:0,253,3:0,189,0:3,309,3:0,166,2:0,9,16:0,370	mismap=1e-10
30671	GLCHR04	1424164	11206	+	2762469	utg11_pilon	1472143	11233	-	1821772	45,1:0,96,0:1,42,0:1,463,3:0,204,0:3,29,0:22,10,10:0,506,3:0,490,0:6,23,0:12,12,0:9,5,13:0,14,4:0,1793,1:0,8,0:8,527,18:0,6853,0:18,33	mismap=1e-10
79283	GLCHR04	1395829	28217	+	2762469	utg11_pilon	1443851	28173	-	1821772	73,1:0,1012,30:0,12,0:38,8,0:1,8,11:0,24,1:0,25,0:5,22,0:1,13,1:0,682,4:0,5,0:6,840,3:0,1112,1:0,6,8:0,79,0:2,18,2:0,476,3:0,93,0:4,1255,0:11,12,0:4,23,3:0,21,38:0,20,4:0,1114,0:12,29,1:0,344,15:0,414,0:1,241,3:0,170,3:0,2759,6:0,1016,0:1,434,0:1,53,0:3,1243,0:1,26,0:1,1654,0:1,33,0:3,2156,1:0,20,1:0,17,3:0,29,1:0,1725,1:0,2310,1:0,45,1:0,44,0:9,8,9:0,28,1:0,102,0:1,23,0:3,33,0:1,39,0:1,302,3:0,163,3:0,573,9:0,1597,0:3,49,4:0,616,0:1,441,0:1,14,1:0,35,4:0,11,0:10,34,0:1,11,0:2,267,0:1,39,0:1,462,0:1,782,1:0,528,0:2,21,0:1,10,0:1,107,0:2,25	mismap=1e-10
1134	GLCHR04	1253392	664	+	2762469	utg11_pilon	378921	668	+	1821772	24,0:1,329,0:3,311	mismap=0.169
1492	GLCHR04	1393108	969	+	2762469	utg11_pilon	1440890	1038	-	1821772	481,0:42,18,0:6,23,0:21,447	mismap=0.00965
2566	GLCHR04	1255341	1991	+	2762469	utg11_pilon	381114	2095	+	1821772	404,0:5,391,0:6,129,0:6,374,0:61,24,4:0,13,0:3,318,0:27,334	mismap=0.0669
244	GLCHR03	773881	212	+	1958359	utg11_pilon	383793	212	+	1821772	212	mismap=0.524
1269	GLCHR02	10373	703	+	1519671	utg11_pilon	1436147	710	-	1821772	159,0:1,322,0:6,222	mismap=5.46e-07
455	GLCHR05	4367445	189	+	4471437	utg11_pilon	1435942	189	-	1821772	189	mismap=1e-10
2320	GLCHR05	4015016	1165	+	4471437	utg11_pilon	385947	1154	+	1821772	75,9:0,520,2:0,559	mismap=0.111
542	GLCHR05	1351236	368	+	4471437	utg11_pilon	387101	371	+	1821772	257,0:3,111	mismap=0.0429
393	GLCHR04	1866520	194	+	2762469	utg11_pilon	388346	194	+	1821772	194	mismap=0.324
321	GLCHR05	1389350	276	+	4471437	utg11_pilon	388916	279	+	1821772	72,0:3,204	mismap=0.507
319	GLCHR05	1045198	278	+	4471437	utg11_pilon	1432304	270	-	1821772	75,0:1,44,6:0,12,0:3,94,6:0,41	mismap=0.977
